Term,Location or origin,Targets,"Meaning, origin and notes",References,https://aclanthology.org/I17-1093.pdf
"Abbie, Abe, Abie","United States, Canada",Jewish men,Originated before the 1950s. From the proper name Abraham.,[1],
Abo/Abbo,Australia,Australian Aboriginal person,"Originally, this was simply an informal term for Aborigine, and was in fact used by Aboriginal people themselves (such as in the Aboriginal-run newspaper Abo Call) until it started to be considered offensive in the 1950s. Although Abo is still considered quite offensive by many, the pejorative boong is now more commonly used when the intent is deliberately to offend, as that word's status as an insult is unequivocal.",[8],
"Afro engineering, African engineering or nigger rigging",United States,African Americans,"Shoddy, second-rate or unconventional, makeshift workmanship. Indirectly refers to black American people as worse or lower-valued than white American people when associating anything bad with them.",[9][10],
Ali Baba,United States,Iraqi people,An Iraqi suspected of criminal activity.,[12],
"Alligator bait, 'gator bait",United States (chiefly southern U.S.),"Black people, especially black children",Dates from early 20th century or before; implies that African Americans are good for nothing except being used to bait alligators,[13][14],
Ann,"United States, Canada","White women, ""white-acting"" black women","While Miss Ann, also just plain Ann, is a derisive reference to white women, it is also applied to any black woman who is deemed to be acting as though she is white.",[18][19],
Ape,United States,Black people,"Referring to outdated theories ascribing cultural differences between racial groups as being linked to their evolutionary distance from chimpanzees, with which humans share common ancestry.",[23][24],
Apple,"United States, Canada",Native Americans,"First used in the 1970s. Someone who is ""red on the outside, white on the inside"". Used primarily by other Native Americans to indicate someone who has lost touch with their cultural identity.",[25],
Argie/Argies (plural),United Kingdom,Argentine people,Extensively used by the British soldiers during the Falklands War in 1982.,[27],
Armo,United States,Armenian/Armenian American,Especially used in Southern California.,[28][29],
Aunt Jemima/Aunt Jane/Aunt Mary/Aunt Sally,United States,Black women,"A black woman who ""kisses up"" to whites, a ""sellout"", female counterpart of Uncle Tom.",[34],
Banana,"United States, Canada",East or Southeast Asian people,"""Yellow on the outside, white on the inside"". Used primarily by East or Southeast Asians for other East- or Southeast Asians or Asian Americans who are perceived as assimilated into mainstream American culture. Similar to Apple.",[41][42],
Beaner / Beaney,United States,"Hispanic or Latino people, especially Mexicans",The term originates from the use of frijoles pintos and other beans that can be generally found in Mexican food or other Hispanic and Latino foods.,[50][51][52],
"Black buck, black brute, brown buck or brown brute",United States,Black men,"Originating in the post-Reconstruction United States, it was used to describe black men who absolutely refused to bend to the law of white authority and were seen as irredeemably violent, rude, and lecherous.",[54],
Bluegum,United States,African Americans,An African American perceived as being lazy and unwilling to work.,[55],
Boche / bosche / bosch,France; United States; United Kingdom,German people,"Shortened from the French term caboche dure, meaning ""hard head"" or ""stubborn"" with th influence of German surname Bosch.",[56],
Boerehater / Boer-hater / Boer hater,South Africa; United Kingdom,British people,"Refers to a person who hates, prejudices, or criticizes the Boers, or Afrikaners – historically applied to British people who held anti-Boers sentiments.",[58][59][60],
Bog / Bogtrotter / Bog-trotter,"United Kingdom, Ireland, United States",Irish people,A person of common or low-class Irish ancestry.,[61][62],
Bohunk,"United States, Canada",Bohemian people,"A lower-class immigrant of Central, Eastern, or Southeastern European descent. Originally referred to those of Bohemian (now Czech Republic) descent. It was commonly used toward Central European immigrants during the early 20th century. Probably from Bohemian + a distortion of Hungarian. See also hunky.",[64],
Boong / bong / bung,Australia,Aboriginal Australians,"[First used in 1847 by JD Lang, Cooksland, 430]. Boong, pronounced with ʊ (like the vowel in bull), is related to the Australian English slang word bung, meaning ""dead"", ""infected"", or ""dysfunctional"". From bung, to go bung ""Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]"". The 1988 edition of the Australian National Dictionary gives its origin in the Wemba word for ""man"" or ""human being"". However, Frederick Ludowyk of the Australian National Dictionary Centre wrote in 2004 that bong meaning ""dead"" is not a Wiradjuri word, but may have been picked up or assumed from the word ""bung"" which was originally a Yagara word which was used in the pidgin widely spoken across Australia in colonial times.",[66][67][68][69][70],
Bounty bar,United Kingdom,Black people,"A black person who is considered to be behaving like a white person (i.e. dark on the outside, white on the inside).",[75],
Brownie,"United States, New Zealand, and Australia","Brown-skinned people, an Asian","Used in the 1850s–1960s; in Australia it was used for an Aboriginal Australian or someone Japanese; in New Zealand, a Māori",[77],
Buckwheat,United States,Black people,The name of a black character that appeared in the Our Gang (Little Rascals) short films. Today it is used to refer to the curly hair of a black person.,[78][79],
Buddhahead,United States,Asian people,Also used by mainland Japanese Americans to refer to Hawaiian Japanese Americans since World War II.,[80][81],
Burrhead / Burr-head / Burr head,United States,Black people,Referencing Afro-textured hair.,[87],
Charlie,United States,White Americans,"Used in the 1960s–1970s. White people as a reified collective oppressor group, similar to The Man or The System.",[96],
China Swede,United States,Finns,"Derogatory term for Finnish immigrants to the United States, particularly in Minnesota and Michigan.",[100][101],
Cheese-eating surrender monkeys,"United Kingdom, United States",French people,"From the defeat of the French by the Germans in 1940, and the huge variety of cheeses originating from France. Gained popularity after the term was used on an episode of The Simpsons.",[103],
Chinaman,"United States, Canada",Chinese people,A calque of the Chinese 中國人. It was used in the gold rush and railway-construction eras in western United States when discrimination against the Chinese was common.,[111],
Ching chong,"United States, Canada, United Kingdom, Ireland, Australia, New Zealand, India, Philippines",Chinese people,Mocking the language of or a person of perceived Chinese descent.,[112],
Cholo,"Latin America, Southwestern United States",Indigenous or Mestizo people,It may be derogatory depending on circumstances.,[121][122][123][124],
Chow,Australia,Chinese people,"Used as early as 1864, rare now",[127][128],
Chug,Canada,Canadian aboriginal people,See Chugach for the native people.,[131],
Coconut,"United States, United Kingdom, New Zealand, Australia","Hispanics/Latinos, South/Southeast Asians","Named after the coconut, in the American sense, it derives from the fact that a coconut is brown on the outside and white on the inside. A person of Hispanic/Latino or South/Southeast Asian descent who is seen as being assimilated into white American culture.",[41][142][42],
Coolie,"United States, Canada","Asian people, usually Chinese, and Indo-Caribbean people","Unskilled Asian laborer (originally used in the 19th century for Chinese railroad laborers). Possibly from Mandarin ""苦力"" ku li or Hindi kuli, ""day laborer."" Also racial epithet for Indo-Caribbean people, especially in Guyana, Trinidad and Tobago and South African Indians.",[147][148],
Coon,"United States, Commonwealth",Black people,"Slur popularized by Coon songs played at Minstrel show. Originally associated in the 1830s with the U.S. Whig Party who used a raccoon as their emblem. The Whigs were more tolerant towards blacks than other main parties. After the party folded the term ""coon"" evolved from political slang into a racial slur. Within African American communities, the word has been used to refer to a black person who is allegedly a ""sellout"".[149]",[150][151][152][153][154],
"Coonass, Coon-ass",United States,Cajun people,"Not to be confused with the French connasse, meaning cunt.",[156],
